1,3EV INDUSTRIES PVT LTD,130,71,0,0,0,232,1,67,501
2,3S INDUSTRIES PRIVATE LIMITED,155,106,105,186,142,129,107,48,978
3,A1 HEAVY EQUIPMENTS DEVELOPER,3,1,0,1,0,8,3,0,16
4,A-1 SUREJA INDUSTRIES,1,0,0,0,0,1,0,0,2
5,AADHYA ENTERPRISES,36,21,27,28,27,30,22,11,202
6,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,2,0,0,4,0,6
7,AAHANA COMMERCE PVT LTD,391,385,401,421,483,517,601,318,"3,517"
8,AAKK AUTO PVT LTD,15,4,3,24,9,7,7,11,80
9,AARON INDUSTRIES,4,1,0,0,5,1,1,0,12
10,A.B. AGRO ENGINEERING WORKS,0,6,1,0,3,0,0,0,10
11,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,5,0,0,0,0,0,1,6
12,ABZO MOTORS PVT LTD,4,2,1,0,1,2,0,1,11
13,ACCRETION POWER AUTOS,38,25,52,43,46,20,29,9,262
14,ACTION CONSTRUCTION EQUIPMENT LTD.,"1,247","1,019","1,224","1,088",845,"1,025",579,311,"7,338"
15,A D AGRO WORKS,8,14,16,13,7,5,3,11,77
16,ADAPT MOTORS PVT LTD,0,0,0,1,0,0,0,0,1
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,259,51,45,42,73,60,68,105,703
18,ADIDEV TECHNOA PVT LTD,106,102,112,172,181,178,169,90,"1,110"
19,ADISHWAR AUTO RIDE INDIA PVT LTD,18,9,9,7,20,12,20,7,102
20,ADITYA AGRO INDUSTRIES,3,2,3,1,1,0,0,0,10
21,ADITYA SAI INDUSTRIES,9,4,20,76,71,33,19,5,237
22,ADM TECHNOLOGIES PVT. LTD.,39,24,6,5,3,3,4,2,86
23,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,1,0,1
24,AERODRIVE PVT LTD,11,9,69,17,12,22,10,21,171
25,AEROEAGLE AUTOMOBILES PVT LTD,23,12,28,0,0,0,0,3,66
26,AFKON AUTOMOTIVES PVT LTD,44,68,45,95,94,78,61,39,524
27,AFTEK MOTORS INDIA PVT LTD,4,0,0,0,0,0,1,1,6
28,AGI AUTO INDUSTRIES,0,0,0,0,0,1,4,1,6
29,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,6,16,19,5,11,10,17,7,91
30,AGRO INDUSTRIES,14,6,7,6,17,10,7,2,69
31,AGRO TRAILERS AP312870751,0,0,0,0,0,0,3,0,3
32,AHMED MOTORS,2,3,1,0,1,0,0,0,7
33,AJANTA KRUSHI YANTRA,3,6,3,8,8,0,1,0,29
34,AJAX ENGINEERING LTD,535,469,673,457,465,659,192,105,"3,555"
35,AJAX FIORI ENGINEERING PVT LTD,0,1,0,1,0,0,5,0,7
36,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,0,2,0,2,0,1,1,7
37,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,1,0,1,0,1,1,0,0,4
38,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,3,5,9,14,29,2,0,0,62
39,AJAY MOTORS PRIVATE LIMITED,25,36,16,20,14,17,13,6,147
40,A.J ENTERPRISES,16,14,20,17,23,17,15,10,132
41,AKAL AGRO INDUSTRY,0,2,6,2,2,1,1,0,14
42,AKASH EQUIPMENTS & MACHINERIES (P) LTD.,0,0,0,1,0,0,0,0,1
43,AKASH TRAILOR,9,0,2,8,3,0,3,1,26
44,A.K.AUTO ELECTRICAL,1,0,0,0,0,0,0,0,1
45,A K AUTTO ELECTRICAL,2,0,0,0,0,0,0,0,2
46,AKG INTERNATIONAL,169,148,152,210,257,197,213,134,"1,480"
47,A K GUPTA & CO.,87,119,96,81,42,59,26,42,552
48,AKMAAN MULTI MECH MACHINES,0,0,0,0,2,0,1,0,3
49,A K S ENG AGRO INDUSTRIES,4,1,3,3,2,0,0,0,13
50,ALBEDO VISION PVT LTD,0,0,0,1,0,0,0,2,3
